Section,Label,2025-Q1,2026-Q1
ASSETS,Cash and deposits,1970343.0,1749746.0
ASSETS,Cash,582.0,717.0
ASSETS,Deposits,1969761.0,1749029.0
ASSETS,Call loans,30000.0,30000.0
ASSETS,Receivables under resale agreements,604914.0,472482.0
ASSETS,Monetary claims bought,23215.0,21229.0
ASSETS,Money held in trust,6460029.0,8039836.0
ASSETS,Securities,46528662.0,44930781.0
ASSETS,Japanese government bonds,35390389.0,34085398.0
ASSETS,Japanese local government bonds,2123485.0,1927062.0
ASSETS,Japanese corporate bonds,4126013.0,3755681.0
ASSETS,Stocks,594608.0,787434.0
ASSETS,Foreign securities,2024510.0,2104952.0
ASSETS,Other securities,2269655.0,2270251.0
ASSETS,Loans,2530051.0,2134764.0
ASSETS,Policy loans,159074.0,164791.0
ASSETS,Industrial and commercial loans,754604.0,676553.0
ASSETS,Loans to the Management Network,1616372.0,1293418.0
ASSETS,Tangible fixed assets,140266.0,134944.0
ASSETS,Land,76632.0,75534.0
ASSETS,Buildings,42921.0,40612.0
ASSETS,Leased assets,4363.0,4545.0
ASSETS,Construction in progress,513.0,25.0
ASSETS,Other tangible fixed assets,15836.0,14227.0
ASSETS,Intangible fixed assets,120899.0,128447.0
ASSETS,Software,120887.0,128438.0
ASSETS,Other intangible fixed assets,11.0,9.0
ASSETS,Agency accounts receivable,10872.0,11837.0
ASSETS,Reinsurance receivables,10641.0,15779.0
ASSETS,Other assets,398023.0,454357.0
ASSETS,Accounts receivable,136783.0,124848.0
ASSETS,Prepaid expenses,4941.0,4539.0
ASSETS,Accrued income,119938.0,120239.0
ASSETS,Money on deposit,6433.0,6530.0
ASSETS,Margin deposits for futures transactions,4437.0,4932.0
ASSETS,Derivative financial instruments,18674.0,3371.0
ASSETS,Cash collateral paid for financial instruments,56013.0,135155.0
ASSETS,Suspense payments,2044.0,1711.0
ASSETS,Other assets,48756.0,53028.0
ASSETS,Deferred tax assets,728362.0,327434.0
ASSETS,Reserve for possible loan losses,-766.0,-864.0
ASSETS,Total assets,59555517.0,58450779.0
LIABILITIES,Policy reserves and others,50165652.0,48102350.0
LIABILITIES,Reserve for outstanding claims,314993.0,319831.0
LIABILITIES,Policy reserves,48765531.0,46653326.0
LIABILITIES,Reserve for policyholder dividends,1085126.0,1129192.0
LIABILITIES,Reinsurance payables,5945.0,5978.0
LIABILITIES,Bonds payable,500000.0,500000.0
LIABILITIES,Other liabilities,4702371.0,4862178.0
LIABILITIES,Payables under repurchase agreements,4516922.0,4595895.0
LIABILITIES,Income taxes payable,2149.0,1492.0
LIABILITIES,Accounts payable,23391.0,28077.0
LIABILITIES,Accrued expenses,44612.0,30446.0
LIABILITIES,Deposits received,2525.0,2701.0
LIABILITIES,Deposits from the Management Network,36678.0,35985.0
LIABILITIES,Guarantee deposits received,109.0,113.0
LIABILITIES,Derivative financial instruments,52286.0,147964.0
LIABILITIES,Cash collateral received for financial instruments,2442.0,
LIABILITIES,Lease obligations,4799.0,5000.0
LIABILITIES,Asset retirement obligations,,814.0
LIABILITIES,Suspense receipt,4772.0,3174.0
LIABILITIES,Other liabilities,11680.0,10513.0
LIABILITIES,Reserve for management bonuses,227.0,248.0
LIABILITIES,Reserve for employees’ retirement benefits,108493.0,116849.0
LIABILITIES,Reserve for management board benefit trust,407.0,481.0
LIABILITIES,Reserve for price fluctuations,829930.0,719232.0
LIABILITIES,Total liabilities,56313029.0,54307320.0
NET ASSETS,Capital stock,500000.0,500000.0
NET ASSETS,Capital surplus,405044.0,405044.0
NET ASSETS,Legal capital surplus,405044.0,405044.0
NET ASSETS,Retained earnings,806270.0,898501.0
NET ASSETS,Legal retained earnings,98803.0,107398.0
NET ASSETS,Other retained earnings,707467.0,791102.0
NET ASSETS,Reserve for reduction entry of real estate,4193.0,3939.0
NET ASSETS,Retained earnings brought forward,703274.0,787163.0
NET ASSETS,Treasury stock,-901.0,-45903.0
NET ASSETS,Total shareholders’ equity,1710413.0,1757642.0
NET ASSETS,Net unrealized gains (losses) on available-for-sale securities,1551688.0,2448471.0
NET ASSETS,Net deferred gains (losses) on hedges,-19614.0,-62655.0
NET ASSETS,Total valuation and translation adjustments,1532073.0,2385816.0
NET ASSETS,Total net assets,3242487.0,4143459.0
NET ASSETS,Total liabilities and net assets,59555517.0,58450779.0
